treatment,repetition,humidity,salinity,length.l1,nr.leaves,day
Tt1,1,,,42,7,4
Tt1,2,,,39,5,4
Tt1,3,,,47,5,4
Tt1,4,,,38.5,6,4
Tt1,5,,,40,5,4
Tt1,6,,,40.5,5,4
Tt2,1,44.9,4.07,27,5,4
Tt2,2,41.3,4.22,26,4,4
Tt2,3,22.8,3.24,23.5,3,4
Tt2,4,24.3,3.16,32,4,4
Tt2,5,32.6,4.33,30.5,4,4
Tt2,6,24.3,3.76,40,4,4
Tt3,1,38.3,11.85,27,3,4
Tt3,2,,,36,5,4
Tt3,3,,,33,5,4
Tt3,4,,,26,4,4
Tt3,5,,,31.5,5,4
Tt3,6,,,27,4,4
Lc,1,43.1,1.41,20,3,4
Lc,2,46.6,1.59,24.5,5,4
Lc,3,43.1,1.42,24,5,4
Lc,4,48.8,1.24,9,2,4
Lc,5,38.9,1.21,24,7,4
Lc,6,37.2,1.4,28,5,4
Lt1,1,8.8,1.67,8.5,3,4
Lt1,2,3.3,,27,12,4
Lt1,3,3.1,,15,3,4
Lt1,4,4.3,,20,3,4
Lt1,5,7.4,,13,3,4
Lt1,6,6.2,,15,3,4
Lt2,1,40.4,10.71,21,3,4
Lt2,2,49.3,10.99,24,3,4
Lt2,3,46.1,12.45,19,5,4
Lt2,4,46.5,11.79,16.5,4,4
Lt2,5,34.1,18.63,21.5,3,4
Lt2,6,36.3,15.01,18.5,4,4
Lt3,1,27.1,33.14,27,9,4
Lt3,2,,,23,7,4
Lt3,3,,,26,10,4
Lt3,4,,,29,8,4
Lt3,5,,,14.5,4,4
Lt3,6,,,21.5,4,4
Tc,1,11.5,1.63,7,50,5
Tc,2,9.2,1.88,9,46,5
Tc,3,11.2,1.66,8,46,5
Tc,4,11.5,1.64,8,51,5
Tc,5,11.2,1.57,8,48,5
Tc,6,15.2,1.55,9,46,5
Tt1,1,NA,NA,4,42.5,5
Tt1,2,NA,NA,5,42.5,5
Tt1,3,NA,NA,4,39,5
Tt1,4,NA,NA,4,42.5,5
Tt1,5,NA,NA,4,40,5
Tt1,6,NA,NA,4,40,5
Tt2,1,46,8.25,4,32.5,5
Tt2,2,42,9.9,4,34,5
Tt2,3,36.6,4.26,4,28,5
Tt2,4,36.2,4.87,5,32.5,5
Tt2,5,37.4,5.74,5,29.9,5
Tt2,6,34.3,5.93,4,40,5
